,상호명,도로명주소,위도,경도
79,가타커피,서울특별시 송파구 백제고분로45길 5-18,37.50871753,127.109885
80,체리오오체리,서울특별시 강남구 논현로126길 24,37.51321655,127.0334217
81,카페리빈갤러리아포레점,서울특별시 성동구 서울숲2길 32-14,37.54566846,127.0428934
82,커피베이행당점,서울특별시 성동구 고산자로6길 40,37.55816854,127.0354558
83,제이어스에프엔비,서울특별시 구로구 새말로 94,37.50546377,126.8904798
84,하라핸즈커피,서울특별시 송파구 올림픽로12길 4-15,37.5110645,127.0821784
85,유로스커피로스터스센터필드점,서울특별시 강남구 테헤란로37길 7,37.50277799,127.040625
86,아리스타과일,서울특별시 중구 을지로 58,37.56610742,126.983974
87,루트184,서울특별시 마포구 대흥로 184-1,37.55547632,126.9460789
88,후식,서울특별시 중랑구 용마산로115길 109,37.59744152,127.0941414
89,빽다방KBS본관점,서울특별시 영등포구 의사당대로 38,37.52601676,126.9186738
90,디어마이커피,서울특별시 영등포구 선유로43가길 24,37.531419,126.8919962
91,잠원동쌍커피,서울특별시 서초구 잠원로14길 41,37.51648305,127.014364
92,브루테크네,서울특별시 영등포구 국제금융로6길 33,37.52078459,126.9268944
93,우주제빵소1,서울특별시 성북구 성북로28길 13,37.59521104,126.9934416
94,송파커피,서울특별시 송파구 바람드리길 62,37.53668953,127.1223501
95,터치183,서울특별시 송파구 위례성대로 124,37.5123391,127.1254745
96,주식,서울특별시 강서구 양천로30길 56,37.570699,126.822577
97,못난이꽈배기암사,서울특별시 강동구 고덕로10길 66,37.551905,127.1291999
98,카페마인드어스,서울특별시 동작구 사당로23길 112,37.48778754,126.9734567
99,아리카페,서울특별시 성북구 안암로 145,37.58848499,127.0317018
100,매머드익스프레스,서울특별시 중랑구 망우로 346,37.59744713,127.0913555
101,발렙,서울특별시 강남구 언주로98길 12,37.50490276,127.0426337
102,비바체,서울특별시 광진구 광나루로52길 11,37.54110389,127.0947895
103,탭하트케이크,서울특별시 동대문구 휘경로23길 6,37.5947928,127.0652974
104,가프,서울특별시 마포구 와우산로5길 10,37.54679416,126.9225496
105,메가엠지씨커피마포,서울특별시 마포구 월드컵로 151,37.56119487,126.9051491
106,빈웍스,서울특별시 구로구 디지털로33길 12,37.4865408,126.896142
107,츄잉떡,서울특별시 강서구 공항대로 382,37.55638612,126.8495351
108,빵굽는쉐프,서울특별시 강서구 마곡서1로 81,37.56435741,126.8191339
109,광흥창카페,서울특별시 마포구 서강로1길 12-6,37.54887319,126.931211
110,레스티오도서관점,서울특별시 광진구 능동로 120,37.53905594,127.0746953
111,쟝블랑제리롯데관악점,서울특별시 관악구 보라매로3길 31,37.49072664,126.9250178
112,카페그린,서울특별시 성동구 왕십리로 410,37.56654474,127.0240621
113,지씨,서울특별시 성동구 아차산로17길 48,37.54638407,127.0658683
114,둔촌커피,서울특별시 강동구 명일로 171,37.53412261,127.1446025
115,마로니에,서울특별시 송파구 동남로 217,37.4967973,127.1317853
116,코드101,서울특별시 관악구 보라매로 7,37.49010825,126.9273674
117,이디야뚝섬유원지역점,서울특별시 광진구 능동로 21,37.53354582,127.0672278
118,스멜비,서울특별시 성동구 무학봉15다길 4,37.5623091,127.0305353
119,카페인중독,서울특별시 강북구 한천로 1081,37.64246605,127.0229451
120,바디쉐프지밸리몰점,서울특별시 구로구 디지털로 300,37.48491351,126.8965278
121,차팅,서울특별시 서대문구 연희로26길 10,37.57283132,126.936144
122,카페게이트망원역점,서울특별시 마포구 월드컵로 67,37.55508097,126.9104674
123,토프레소서울대,서울특별시 관악구 봉천로 451,37.48268185,126.9502456
124,카페샌프란시스코,서울특별시 중구 소월로2길 30,37.55398807,126.9755937
125,티그레서울,서울특별시 은평구 연서로29길 34,37.61999611,126.9168497
126,카페플라밍고,서울특별시 강남구 개포로 216,37.47842418,127.0464087
127,로프커피,서울특별시 광진구 동일로 304,37.55824766,127.073462
128,카페메이,서울특별시 중랑구 동일로 833-8,37.60490501,127.0782179
129,달리는커피강남,서울특별시 강남구 학동로20길 67,37.50951129,127.0266037
130,타이거,서울특별시 강남구 밤고개로1길 10,37.48801328,127.1018308
131,에그카페,서울특별시 구로구 경인로19길 35,37.49729781,126.8423337
132,현커피숍,서울특별시 중랑구 사가정로 429,37.58069517,127.0923291
133,자양빵공장,서울특별시 광진구 자양로15길 14,37.5359298,127.0828468
134,플라워플라이,서울특별시 동대문구 제기로2길 28,37.58549373,127.0339258
135,장수카페,서울특별시 광진구 군자로 140,37.55414188,127.0749954
136,에이그레이트까페,서울특별시 금천구 가산디지털1로 149,37.4787294,126.8818415
137,파리크라상라그릴리아현대시티몰,서울특별시 송파구 충민로 66,37.47760822,127.124941
138,슬로우포레스트,서울특별시 종로구 삼청로5길 20,37.58280301,126.9807581
139,지체장애인협회강동구지회강동꿈드래마켓,서울특별시 강동구 올림픽로 875,37.55984618,127.1308166
140,튤립제과,서울특별시 마포구 서강로11길 15,37.55347261,126.9326619
141,어치브먼트,서울특별시 동대문구 망우로18다길 19,37.58645015,127.060884
142,당땡겨,서울특별시 은평구 응암로12길 1,37.58829085,126.9170715
143,컴포즈커피,서울특별시 양천구 중앙로43길 14,37.52040712,126.8513209
144,더벤티을지로6가점,서울특별시 중구 을지로 252-2,37.56612517,127.0061714
145,3단지커피,서울특별시 동작구 동작대로3길 41,37.47865537,126.9791782
146,떡가게종춘익선,서울특별시 종로구 돈화문로11길 34-6,37.57284134,126.9895881
147,설빙구로,서울특별시 구로구 경서로 81,37.5041255,126.860641
148,소적두,서울특별시 성동구 상원6길 8,37.54859252,127.0490464
149,하이히얼,서울특별시 성북구 화랑로40길 37,37.61346653,127.063546
150,비기프티드,서울특별시 송파구 위례송파로 124,37.48436256,127.1466174
151,클러스터,서울특별시 송파구 가락로5길 11,37.50029413,127.1017515
152,카페메이,서울특별시 성동구 성수일로12길 19-1,37.5484204,127.0534169
153,소백당,서울특별시 동대문구 장한로14길 8,37.5662462,127.0685294
154,24시무인셀프카페,서울특별시 동작구 동작대로35길 21,37.49097127,126.9810914
155,압생트인서울,서울특별시 강남구 선릉로112길 19,37.51160012,127.0451724
156,광합성카페,서울특별시 마포구 월드컵로19길 8,37.55708964,126.9084461
157,로쿠커피,서울특별시 구로구 디지털로26길 61,37.48111748,126.8952834
158,박스프레소,서울특별시 서초구 강남대로37길 24,37.48495021,127.0322934
159,빽다방수서역점,서울특별시 강남구 밤고개로1길 10,37.48801328,127.1018308
160,비알배스킨라빈스한남HIVE,서울특별시 용산구 독서당로 93,37.53500402,127.0105787
161,하윌라,서울특별시 강동구 성안로 37,37.5272327,127.1302334
162,봉카페,서울특별시 마포구 와우산로29길 4-14,37.55485162,126.9297222
163,뮤츄얼,서울특별시 성북구 성북로 24,37.59017795,127.0045042
164,만랩커피동평화패션타운점,서울특별시 중구 마장로1길 28-21,37.56931079,127.0132041
165,카페시카고,서울특별시 동대문구 망우로18가길 3,37.58930976,127.0624333
166,홍콩다방홍대입구역점,서울특별시 마포구 양화로18길 9,37.55677909,126.9246807
167,간삼기획,서울특별시 중구 동호로20다길 16,37.55855619,127.0093619
168,브레댄코가산디지털단지점,서울특별시 금천구 가산디지털1로 222,37.48500218,126.8800972
169,크로플바니,서울특별시 강북구 솔샘로64길 2,37.61697486,127.027198
170,쏭스디저트카페,서울특별시 용산구 효창원로23길 11,37.53627014,126.9546432
171,더벤티정릉,서울특별시 성북구 서경로 77,37.61007748,127.0147158
172,카페마실로,서울특별시 영등포구 도림로53길 34-1,37.49858565,126.899776
173,카페어텐디,서울특별시 동대문구 왕산로 110,37.57791969,127.0354841
174,일일일대일,서울특별시 성북구 동소문로 125,37.59414911,127.0181984
175,카페이퍼스,서울특별시 서초구 바우뫼로33길 7-8,37.47790771,127.0371667
176,마라나타,서울특별시 구로구 부일로 969,37.49351216,126.8348721
177,파리바게뜨,서울특별시 중랑구 면목로 480,37.59483017,127.0861783
178,에그허그,서울특별시 광진구 천호대로143길 8-5,37.54604324,127.1032625
